id_user,created_at,username,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes
762498122,2012-08-16T22:57:49.000Z,adulmia,False,141,357,2102,0,1,0,0,5,0
1256208921854951424,2020-05-01T13:08:56.000Z,DavidJover5,False,56,425,188,0,1,0,0,0,0
4006514353,2015-10-24T21:42:53.000Z,CGSagastumeP14,False,261,248,1897,0,1,0,0,19,0
1149901497691512833,2019-07-13T04:40:55.000Z,Wilis63065241,False,264,426,997,0,5,0,1,11,0
551158043,2012-04-11T17:14:47.000Z,OttoC_M,False,104,1950,194,3,2,0,0,1,0
2696057090,2014-07-31T16:14:13.000Z,koyoichan1,False,22,301,687,0,1,0,0,0,0
306583405,2011-05-28T04:01:14.000Z,analu103,False,1015,312,6309,2,1,1,0,1,0
1472407769458294788,2021-12-19T03:25:54.000Z,Kvliz10,False,0,1,3,0,2,0,0,0,0
1358705904,2013-04-17T06:26:56.000Z,riodulcetravel,False,357,1336,1134,2,1,0,1,1,0
227849912,2010-12-18T00:29:14.000Z,_TefiMel,False,643,194,19307,0,1,0,1,0,0
332340970,2011-07-09T16:43:12.000Z,Drweed_,False,161,211,3491,0,107,7,41,63,2
377827647,2011-09-22T05:19:47.000Z,tcabralp,False,5333,4003,97652,0,7,31,2,57,1
837926582085894144,2017-03-04T07:23:59.000Z,Javi_G6,False,1508,1466,2905,1,24,25,18,269,0
130361062,2010-04-07T02:30:49.000Z,wmau19,False,202,1472,2065,1,3,0,0,1,0
1374522653952811008,2021-03-24T00:45:23.000Z,Eduard89948587,False,110,1287,19,0,1,0,0,1,0
3635191708,2015-09-12T21:14:16.000Z,leticiavillegag,False,0,59,23,0,1,0,0,0,0
1327130674319519745,2020-11-13T06:06:37.000Z,RubenMo10301508,False,2,28,20,0,2,0,0,0,0
1330261670288035842,2020-11-21T21:28:03.000Z,Kira22652681,False,49,87,205,0,17,0,5,12,0
288507955,2011-04-27T00:02:42.000Z,cesgonzalezr,False,259,428,9124,2,12,0,1,1,0
1088668789246431232,2019-01-25T05:24:00.000Z,Guayo23ton,False,1028,248,4207,0,27,0,11,34,0
1406737822694924288,2021-06-20T22:17:09.000Z,SosamendezAngel,False,479,1669,151,0,37,55,5,191,0
409004573,2011-11-10T04:54:41.000Z,imbadmedicine,False,170,571,4197,0,47,1,14,56,0
707113417,2012-07-20T13:09:19.000Z,desarrollo_teca,False,309,398,2054,0,6,1,0,6,0
1425699849643741184,2021-08-12T06:05:23.000Z,gabrielperezgt,False,286,349,510,0,1,0,0,2,0
369052608,2011-09-06T17:45:19.000Z,Fabri_Alfaro,False,484,405,40516,5,2,0,0,0,0
551138653,2012-04-11T16:45:55.000Z,SantosDalia,False,108031,1615,129697,192,132,962,642,8551,76
1207009768939884544,2019-12-17T18:48:57.000Z,fernandonotes,False,50,85,81,0,1,0,0,0,0
1191542662932959232,2019-11-05T02:28:15.000Z,Kevin_Morales__,False,126,303,709,0,125,5,6,78,0
368645905,2011-09-06T00:18:00.000Z,dgvsv,False,416,1026,23398,1,7,2,4,18,0
1012115734783283201,2018-06-27T23:29:30.000Z,alanponciano1,False,140,338,3783,0,388,13,77,411,1
3917471,2007-04-09T16:00:56.000Z,Misifusi,False,808,807,42648,21,362,38,135,496,6
235805291,2011-01-09T03:39:53.000Z,tatomaza,False,371,2094,12955,0,232,6,22,211,0
1369462188361015298,2021-03-10T01:37:09.000Z,DeliciasFrancis,False,2,20,2,0,1,0,0,0,0
373102308,2011-09-14T00:27:32.000Z,Wylder_Frank,False,113,165,24068,0,1,0,0,0,0
272924404,2011-03-27T13:11:52.000Z,gordoviajero,False,4524,2077,96774,7,2468,2174,3615,20646,512
195437352,2010-09-26T18:13:16.000Z,laSilviux,False,248,460,5961,0,38,1,28,79,0
224418708,2010-12-08T23:34:54.000Z,Lupita_Caal,False,346,500,19018,0,4,0,1,5,0
742059321370910720,2016-06-12T18:21:43.000Z,GrupoGAXela,False,225,328,406,0,6,7,1,15,0
28739647,2009-04-04T04:28:11.000Z,JcLaSh,False,4762,372,23960,29,2,0,0,0,0
339333057,2011-07-20T23:11:37.000Z,EnriqueJLam,False,199,851,6904,0,213,6,31,117,0
1177994871388463105,2019-09-28T17:17:59.000Z,Cristia46128079,False,0,42,6,0,1,0,0,2,0
188530174,2010-09-08T23:24:56.000Z,vitadelpilota_,False,217,337,9293,0,41,3,14,58,0
1330674390409867265,2020-11-23T00:48:05.000Z,Jenny_G,False,42,65,390,0,1,0,0,0,0
63594726,2009-08-07T01:07:03.000Z,manuelo36,False,196,653,5953,0,23,2,19,22,0
