author_id,username,created_at,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes,menciones_a_In,menciones_a_Out,menciones_de_In,rt_a_In,rt_a_Out,rt_de_In,rp_a_In,rp_a_Out,rp_de_In,rq_a_In,rq_a_Out,rq_de_In,Actividad,paisSN
1032418283855605761,vilchex_tattoos,2018-08-23T00:04:35.000Z,False,207,1259,67,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1042532737087889408,MichaelMFotogr1,2018-09-19T21:55:48.000Z,False,6,37,67,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1045541939502874624,PaulaVa49150847,2018-09-28T05:13:18.000Z,False,353,164,5836,0,20,16214,6,10,0,0,17,0,0,9,0,0,6,0,0,1,0,33,1
1047368839913246720,TwinDilis,2018-10-03T06:12:45.000Z,False,97,141,800,0,64,60103,23,77,1,1,14,1,0,6,0,1,7,1,0,0,0,31,1
1047652727067688960,TrejosAlice,2018-10-04T01:00:49.000Z,False,108,428,767,0,56,112046,21,77,1,4,16,2,3,14,0,2,2,2,0,7,1,53,1
296064338,torifitadv,2011-05-10T04:12:08.000Z,False,178,236,2477,51,66,0,1,4,1,0,3,0,0,0,0,0,1,0,0,0,0,4,0
1855298516,by_rich_barber,2013-09-11T19:50:43.000Z,False,187,1351,485,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
708441674,Abigail13_0,2012-07-21T05:42:46.000Z,False,297,108,1306,0,123,45111,24,97,1,1,44,0,1,32,0,0,11,0,0,19,0,108,0
804469514,olmzum,2012-09-05T12:08:26.000Z,False,124,860,1070,1,7,2,0,5,0,1,8,0,0,0,0,1,6,0,0,0,0,16,1
158755399,jdurancr,2010-06-23T14:33:24.000Z,False,369,1066,1951,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
606941175,paoemisami,2012-06-13T03:42:02.000Z,False,2,10,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
613043080,J22526264105Ez,2012-06-20T02:00:38.000Z,False,210,1403,6575,0,402,4142,127,319,1,1,91,0,1,17,0,1,79,0,0,0,0,190,1
624014811,soychokitoCR,2012-07-01T17:32:05.000Z,False,1624,4372,6353,5,12,10,3,83,2,0,1,0,0,0,0,0,2,0,0,0,0,3,1
87443041,iKeilian,2009-11-04T13:51:57.000Z,False,91,406,1845,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90049514,ChozaLDA,2009-11-14T23:48:33.000Z,False,933,2599,37498,16,506,110150,4,23,0,11,65,0,4,40,0,3,10,1,0,2,0,136,1
3232906068,Mikahela_06,2015-06-01T22:44:34.000Z,False,2830,1014,22692,9,131,167408,44,508,11,6,31,27,2,17,24,5,11,4,1,4,5,137,1
3588968892,ChantyMeneses,2015-09-17T02:11:35.000Z,False,1011,1434,9933,0,256,289,46,445,5,1,134,1,0,2,0,1,43,1,0,0,0,183,0
1358252037184569345,CamilaDicsi,2021-02-07T03:12:02.000Z,False,4,6,35,0,15,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1358455071080648715,Fernand46002677,2021-02-07T16:38:44.000Z,False,69,630,23,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
1359595338689036288,jessica19517316,2021-02-10T20:13:00.000Z,False,243,577,18,1,16,10,7,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
484377153,Memonteroa,2012-02-06T01:38:28.000Z,False,4,92,65,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1
2535129969,CaroCali83,2014-05-08T14:11:20.000Z,False,966,108,8169,0,124,131712,0,13,0,1,77,0,1,61,0,0,1,0,0,0,0,141,0
2563899157,raticosdefutbol,2014-06-12T18:36:03.000Z,False,744,696,5960,0,734,67610,229,1483,59,0,526,0,0,167,0,0,125,0,0,53,0,871,1
2592393997,SofiaGh75,2014-06-28T03:17:57.000Z,False,279,279,2369,1,113,23015,37,188,1,4,27,3,0,13,1,4,13,3,0,14,0,82,1
1619422380,19Mrojasu,2013-07-25T04:54:11.000Z,False,8,120,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1624697924,stevalsoto,2013-07-27T05:46:42.000Z,False,252,734,3648,2,76,395810,10,16,0,1,33,1,1,29,0,1,5,1,0,7,0,79,1
569686018,vasquezlobo,2012-05-03T04:36:07.000Z,False,71,387,2504,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
576148766,civetdebiche,2012-05-10T11:20:35.000Z,False,1028,1455,5355,9,257,36677,11,148,2,3,207,1,3,109,1,0,28,0,0,8,0,360,0
582495550,thepaulosophy,2012-05-17T06:15:21.000Z,False,1202,402,1039,13,117,2784,353,5409,243,0,78,0,0,5,0,0,49,0,0,5,0,137,1
587805765,_otracosa,2012-05-22T20:26:05.000Z,False,689,658,15235,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
